exp_name,problem,method,dim,seed,noise_seed,noise_pct,sigma_noise,budget,iter,init_factor,x_uv,x_xy,x,y,y_noisy,best_so_far,best_so_far_obs,regret,regret_obs,time_s
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,0,2.0,"[0.9977987111144104, 0.9193585237984929]","[9.966980666716157, 13.790377856977393]","[9.966980666716157, 13.790377856977393]",118.8483495013906,118.8483495013906,118.8483495013906,118.8483495013906,118.4504625013906,118.4504625013906,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,1,2.0,"[0.6873022033648967, 0.33442976680388165]","[5.3095330504734495, 5.0164465020582245]","[5.3095330504734495, 5.0164465020582245]",30.02951671955301,30.02951671955301,30.02951671955301,30.02951671955301,29.63162971955301,29.63162971955301,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,2,2.0,"[0.43188600060399396, 0.5430055893378968]","[1.4782900090599096, 8.145083840068452]","[1.4782900090599096, 8.145083840068452]",28.657794342361168,28.657794342361168,28.657794342361168,28.657794342361168,28.259907342361167,28.259907342361167,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,3,2.0,"[0.9185484785724912, 0.7390918098738147]","[8.778227178587368, 11.086377148107221]","[8.778227178587368, 11.086377148107221]",85.19604063077723,85.19604063077723,28.657794342361168,28.657794342361168,28.259907342361167,28.259907342361167,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,4,2.0,"[0.5846128441798749, 0.3871559039341814]","[3.7691926626981243, 5.807338559012721]","[3.7691926626981243, 5.807338559012721]",17.99567980768725,17.99567980768725,17.99567980768725,17.99567980768725,17.59779280768725,17.59779280768725,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,5,2.0,"[0.1545931089285989, 0.67884226221013]","[-2.6811033660710164, 10.18263393315195]","[-2.6811033660710164, 10.18263393315195]",2.4244483748172287,2.4244483748172287,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,6,2.0,"[0.41143059661459525, 0.5047873888598591]","[1.1714589492189287, 7.571810832897886]","[1.1714589492189287, 7.571810832897886]",24.35422190870681,24.35422190870681,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,7,2.0,"[0.7288075430943156, 0.8357157140142761]","[5.932113146414734, 12.535735710214142]","[5.932113146414734, 12.535735710214142]",149.68392488257433,149.68392488257433,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,8,2.0,"[0.09087249982930846, 0.4578054870400959]","[-3.636912502560373, 6.867082305601438]","[-3.636912502560373, 6.867082305601438]",45.50859309208747,45.50859309208747,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,9,2.0,"[0.6218150609123825, 0.18845374442395318]","[4.327225913685737, 2.826806166359298]","[4.327225913685737, 2.826806166359298]",8.068985797498785,8.068985797498785,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,10,2.0,"[0.012739233746429086, 0.2930091855253563]","[-4.8089114938035635, 4.395137782880345]","[-4.8089114938035635, 4.395137782880345]",160.88881251484835,160.88881251484835,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,11,2.0,"[0.44783238001056325, 0.005395734275277406]","[1.7174857001584485, 0.08093601412916109]","[1.7174857001584485, 0.08093601412916109]",21.317606773040666,21.317606773040666,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,12,2.0,"[0.8151545769061659, 0.020330552710570583]","[7.227318653592489, 0.30495829065855873]","[7.227318653592489, 0.30495829065855873]",16.515177819743524,16.515177819743524,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,13,2.0,"[0.17726357844699772, 0.8945803023415262]","[-2.3410463232950343, 13.418704535122894]","[-2.3410463232950343, 13.418704535122894]",12.22304735305233,12.22304735305233,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,14,2.0,"[0.020819470478723894, 0.20248566552999128]","[-4.6877079428191415, 3.037284982949869]","[-4.6877079428191415, 3.037284982949869]",185.64931658367092,185.64931658367092,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,15,2.0,"[0.25230770222962506, 0.8786411937322676]","[-1.2153844665556242, 13.179617905984014]","[-1.2153844665556242, 13.179617905984014]",38.88874758370528,38.88874758370528,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,16,2.0,"[0.6459739226563784, 0.40643738782151884]","[4.689608839845677, 6.096560817322782]","[4.689608839845677, 6.096560817322782]",32.05235363013787,32.05235363013787,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,17,2.0,"[0.11631707108243064, 0.9372728018049116]","[-3.2552439337635404, 14.059092027073673]","[-3.2552439337635404, 14.059092027073673]",2.737796785799004,2.737796785799004,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,18,2.0,"[0.7724042690403076, 0.3077784284795821]","[6.586064035604613, 4.616676427193731]","[6.586064035604613, 4.616676427193731]",31.38135786043914,31.38135786043914,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,19,2.0,"[0.05626540478400545, 0.5211713606961039]","[-4.156018928239918, 7.817570410441559]","[-4.156018928239918, 7.817570410441559]",54.32574279556198,54.32574279556198,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,20,2.0,"[0.6080910367964305, 0.12067171150610928]","[4.121365551946457, 1.8100756725916392]","[4.121365551946457, 1.8100756725916392]",4.680273146534545,4.680273146534545,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,21,2.0,"[0.7125821630307942, 0.8546896714357746]","[5.688732445461914, 12.820345071536618]","[5.688732445461914, 12.820345071536618]",154.695588385582,154.695588385582,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,22,2.0,"[0.1371480855317514, 0.34620483751117914]","[-2.942778717023729, 5.1930725626676875]","[-2.942778717023729, 5.1930725626676875]",44.26903720462085,44.26903720462085,2.4244483748172287,2.4244483748172287,2.026561374817229,2.026561374817229,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,23,2.0,"[0.9202941260993074, 0.1435131124120512]","[8.804411891489611, 2.152696686180768]","[8.804411891489611, 2.152696686180768]",2.209973313137346,2.209973313137346,2.209973313137346,2.209973313137346,1.812086313137346,1.812086313137346,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,24,2.0,"[0.7499979162737529, 0.37778975668698]","[6.249968744106294, 5.6668463503047]","[6.249968744106294, 5.6668463503047]",40.46125768963188,40.46125768963188,2.209973313137346,2.209973313137346,1.812086313137346,1.812086313137346,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,25,2.0,"[0.3697167071766358, 0.7799019301047065]","[0.5457506076495369, 11.698528951570598]","[0.5457506076495369, 11.698528951570598]",60.83044604620614,60.83044604620614,2.209973313137346,2.209973313137346,1.812086313137346,1.812086313137346,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,26,2.0,"[0.20056639342290927, 0.9591442035922192]","[-1.9915040986563608, 14.387163053883288]","[-1.9915040986563608, 14.387163053883288]",28.217610222251853,28.217610222251853,2.209973313137346,2.209973313137346,1.812086313137346,1.812086313137346,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,27,2.0,"[0.874222857559795, 0.6316066477197371]","[8.113342863396925, 9.474099715796056]","[8.113342863396925, 9.474099715796056]",69.68136277733453,69.68136277733453,2.209973313137346,2.209973313137346,1.812086313137346,1.812086313137346,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,28,2.0,"[0.27994419871578424, 0.47246374289372084]","[-0.8008370192632359, 7.086956143405812]","[-0.8008370192632359, 7.086956143405812]",16.75724071727386,16.75724071727386,2.209973313137346,2.209973313137346,1.812086313137346,1.812086313137346,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,29,2.0,"[0.96297528024465, 0.23294379023148498]","[9.444629203669749, 3.494156853472275]","[9.444629203669749, 3.494156853472275]",1.4045068336351942,1.4045068336351942,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,30,2.0,"[0.0721327155153436, 0.5810404260212881]","[-3.918009267269846, 8.715606390319323]","[-3.918009267269846, 8.715606390319323]",33.434609362749256,33.434609362749256,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,31,2.0,"[0.5375296846162141, 0.8099484539097525]","[3.0629452692432118, 12.149226808646286]","[3.0629452692432118, 12.149226808646286]",96.70475450662845,96.70475450662845,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,32,2.0,"[0.6639903088793643, 0.9794525762764591]","[4.959854633190464, 14.691788644146886]","[4.959854633190464, 14.691788644146886]",192.1179814063732,192.1179814063732,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,33,2.0,"[0.5467223412109132, 0.7185430910613573]","[3.200835118163699, 10.778146365920358]","[3.200835118163699, 10.778146365920358]",73.49831695603494,73.49831695603494,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,34,2.0,"[0.7989788734987553, 0.7892009027861819]","[6.984683102481329, 11.83801354179273]","[6.984683102481329, 11.83801354179273]",130.80232999593363,130.80232999593363,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,35,2.0,"[0.9596239008013269, 0.9964474765508614]","[9.394358512019902, 14.946712148262922]","[9.394358512019902, 14.946712148262922]",156.58363864361615,156.58363864361615,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,36,2.0,"[0.4645431518706676, 0.09870144847575538]","[1.9681472780600133, 1.4805217271363307]","[1.9681472780600133, 1.4805217271363307]",9.846799392880524,9.846799392880524,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,37,2.0,"[0.3505070864495145, 0.6039702608901851]","[0.2576062967427175, 9.059553913352778]","[0.2576062967427175, 9.059553913352778]",31.263610522927443,31.263610522927443,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,38,2.0,"[0.5690067873329857, 0.496652882953068]","[3.535101809994785, 7.4497932442960195]","[3.535101809994785, 7.4497932442960195]",30.96163258470952,30.96163258470952,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,39,2.0,"[0.4816803068716477, 0.10005477000340297]","[2.2252046030747152, 1.5008215500510447]","[2.2252046030747152, 1.5008215500510447]",6.70671294180117,6.70671294180117,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,40,2.0,"[0.2334124882938726, 0.05825511154555443]","[-1.498812675591911, 0.8738266731833165]","[-1.498812675591911, 0.8738266731833165]",71.55888388004385,71.55888388004385,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,41,2.0,"[0.3137689346114188, 0.17082922440498183]","[-0.2934659808287181, 2.562438366074727]","[-0.2934659808287181, 2.562438366074727]",34.52471456142879,34.52471456142879,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,42,2.0,"[0.5157419661497736, 0.6821099055914046]","[2.7361294922466044, 10.231648583871069]","[2.7361294922466044, 10.231648583871069]",59.22873495272068,59.22873495272068,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,43,2.0,"[0.8305862432039354, 0.6534398975591272]","[7.4587936480590304, 9.801598463386908]","[7.4587936480590304, 9.801598463386908]",85.70268296235258,85.70268296235258,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,44,2.0,"[0.8822986526656181, 0.24767355108523767]","[8.234479789984272, 3.715103266278565]","[8.234479789984272, 3.715103266278565]",10.682133787265212,10.682133787265212,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,45,2.0,"[0.32270193010044823, 0.07458993121967997]","[-0.15947104849327687, 1.1188489682951994]","[-0.15947104849327687, 1.1188489682951994]",45.88181020791384,45.88181020791384,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,46,2.0,"[0.8482931169871134, 0.7485045724969815]","[7.724396754806701, 11.227568587454723]","[7.724396754806701, 11.227568587454723]",107.54295144405012,107.54295144405012,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,47,2.0,"[0.29371083968961387, 0.5759264854057459]","[-0.5943374046557919, 8.638897281086187]","[-0.5943374046557919, 8.638897281086187]",20.66929229215685,20.66929229215685,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,48,2.0,"[0.398680870319125, 0.27961670677552464]","[0.9802130547868755, 4.19425060163287]","[0.9802130547868755, 4.19425060163287]",15.483656960778143,15.483656960778143,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.0,0.0,50,49,2.0,"[0.1859942378107477, 0.42675822451014267]","[-2.2100864328387844, 6.40137336765214]","[-2.2100864328387844, 6.40137336765214]",18.31179838612943,18.31179838612943,1.4045068336351942,1.4045068336351942,1.0066198336351944,1.0066198336351944,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,0,2.0,"[0.9977987111144104, 0.9193585237984929]","[9.966980666716157, 13.790377856977393]","[9.966980666716157, 13.790377856977393]",118.8483495013906,120.54790023569473,118.8483495013906,120.54790023569473,118.4504625013906,120.15001323569471,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,1,2.0,"[0.6873022033648967, 0.33442976680388165]","[5.3095330504734495, 5.0164465020582245]","[5.3095330504734495, 5.0164465020582245]",30.02951671955301,26.7097502981367,30.02951671955301,26.7097502981367,29.63162971955301,26.3118632981367,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,2,2.0,"[0.43188600060399396, 0.5430055893378968]","[1.4782900090599096, 8.145083840068452]","[1.4782900090599096, 8.145083840068452]",28.657794342361168,28.60593678559278,28.657794342361168,26.7097502981367,28.259907342361167,26.3118632981367,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,3,2.0,"[0.9185484785724912, 0.7390918098738147]","[8.778227178587368, 11.086377148107221]","[8.778227178587368, 11.086377148107221]",85.19604063077723,79.033057510329,28.657794342361168,26.7097502981367,28.259907342361167,26.3118632981367,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,4,2.0,"[0.5846128441798749, 0.3871559039341814]","[3.7691926626981243, 5.807338559012721]","[3.7691926626981243, 5.807338559012721]",17.99567980768725,24.691965699797446,17.99567980768725,24.691965699797446,17.59779280768725,24.29407869979745,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,5,2.0,"[0.1545931089285989, 0.67884226221013]","[-2.6811033660710164, 10.18263393315195]","[-2.6811033660710164, 10.18263393315195]",2.4244483748172287,27.355118145926657,2.4244483748172287,24.691965699797446,2.026561374817229,24.29407869979745,0.0
TB_RSM_B50-final,Branin2D,DOE_LHS,2.0,0,777000,0.2,10.282938010515531,50,6,2.0,"[0.41143059661459525, 0.5047873888598591]","[1.1714589492189287, 7.571810832897886]","[1.1714589492189287, 7.571810832897886]",24.35422190870681,36.67796815058624,2.4244483748172287,24.691965699797446,2.026561374817229,24.29407869979745,0.0
